rate,customer_review,reply
FIVE,"Good experience","Thank you for taking the time to leave a 5-star review for Iron Age Halcyon in Alpharetta! We are delighted to hear that you had a good experience and appreciate your kind words. We strive to provide the best possible service and we are thrilled that you enjoyed your visit. Thank you again for your review!"
FIVE,"Awesome place!","Thank you for your kind words! We're delighted to hear that you had a great experience at Iron Age Halcyon in Alpharetta. We strive to provide our customers with the best service and food possible. We hope to see you again soon!"
FIVE,"The food tastes good, the server is kind and nice, and I want to visit next time.","Thank you so much for your 5-star rating of 88 Tofu in Duluth! We are so glad to hear that you enjoyed the food and that our server was kind and nice. We hope you will visit us again soon!"
FIVE,"This place is fantastic!","We are so glad to hear that you had a fantastic experience at Witch Topokki in Flushing! Our team is dedicated to bringing our customers the best Korean cuisine, and we are delighted that you enjoyed your time with us. Thank you for your five-star rating and for recommending us to others!"
FIVE,"no comment","Thank you for taking the time to leave us a 5-star rating! We are so pleased to hear that you enjoyed our Witch Topokki in Flushing. We strive to make the best Korean food in Flushing and we're glad that you enjoyed your experience. Thank you for your support!"
FIVE,"Delicious and fun to make your own pot","Thank you for your 5-star rating! We are so glad you enjoyed your experience making your own pot at Witch Topokki in Flushing. Our goal is to provide delicious and fun Korean food that you can enjoy with friends and family. We look forward to seeing you again soon!"
FIVE,"Our first ever experience with this cuisine, and a magnificent introduction it was. We’ll be sure to return!!!","Thank you for your 5-star review! We are delighted to hear that you had a great experience with Witch Topokki and that you will be returning. We strive to provide the best Korean cuisine in Flushing and are glad that we could introduce you to this amazing food. We look forward to seeing you again soon!"
FIVE,"no comment","Thank you for taking the time to leave us a 5-star review! We are delighted to hear that you enjoyed your experience at Witch Topokki in Flushing. We strive to provide the best Korean cuisine and we are glad that you enjoyed our delicious topokki. We look forward to seeing you again soon!"
FIVE,Good,"Thank you so much for your excellent 5-star rating! We are so glad that you enjoyed your experience at Witch Topokki in Flushing. We strive to provide the best Korean food and service, and we are delighted that you had a positive experience. We look forward to seeing you again soon!"
FIVE,"Witch Topokki is such a fun experience. I’ve been here three times already and every time, it’s been so clean, all of the options were fully stocked and the staff was so kind. Highly recommend","Thank you for your kind words! We are so pleased that you have had a great experience every time you have visited Witch Topokki in Flushing. We strive to provide the best service and the freshest ingredients so our customers can enjoy a fun and delicious experience. We look forward to seeing you again soon!"
FIVE,"Never knew about an AYCE tteokbooki place. Fresh ingredients and great atmosphere","Thank you for your 5-star rating and review of Witch Topokki in Flushing! We are so glad that you enjoyed our fresh ingredients and cozy atmosphere. We hope you come back to try our all-you-can-eat tteokbooki soon!"
FIVE,"Daughter approved 👌","Thank you for your five-star review of Witch Topokki in Flushing! We are so glad to hear that your daughter approved of our Korean-style topokki. We strive to provide the highest quality, delicious topokki that will satisfy all of our customers. We look forward to seeing you again soon!"
FIVE,"no comment","Thank you for taking the time to review Witch Topokki in Flushing! We are so glad that you enjoyed your experience and gave us a 5-star rating. We strive to provide the best Korean cuisine in Flushing and it's great to hear that we have achieved that. Thank you for your support!"
FIVE,"no comment","Thank you for your review of Witch Topokki in Flushing! We are glad to hear that you enjoyed your experience and appreciate your 5-star rating. We hope to see you again soon for more delicious Korean topokki dishes!"
FIVE,"no comment","Thank you for taking the time to leave us a 5-star rating! We're so glad to hear that you enjoyed your experience with Witch Topokki in Flushing. We strive to provide the best Korean food in Flushing and we're pleased that you found it to your liking. We look forward to serving you again soon!"
FIVE,"Clean cozy","Thank you for your 5-star rating! We're so glad you enjoyed your visit to Witch Topokki in Flushing. Our cozy atmosphere and delicious topokki dishes are sure to make you come back for more! We hope to see you again soon."
FIVE,"Amazing and delicious","Thank you for your kind words! We are delighted to hear that you enjoyed our Witch Topokki in Flushing. Our goal is to provide the most delicious and authentic Korean cuisine and we are so glad that we were able to exceed your expectations. We look forward to seeing you again soon!"
